green,teal,gold,orange,yellow,blue,maroon,red
3d printing,collaboration,diffusion,online innovation community,user innovation,compatibility,case study,innovation
co-creation,crowdsourcing,adoption,consumer innovation,open source software,business model,innovation management,community
motivation,co-innovation,lead user,diffusion of innovation,product development,complementarity,innovation policy,makerspace
online community,social medium,new product,renewable energy,user design,open source,product innovation,network
platform,user-driven innovation,opinion leadership,,cocreation,value creation,user involvement,user
user entrepreneurship,idea competition,embedded lead user,,creative consumer,crowdfunding,lead user workshop,healthcare
knowledge,new product development,idea quality,,innovation ecosystem,crowdfunding platform,video game industry,post-adoptive behavior
sources of innovation,open innovation,,,living lab,entrepreneurship,,sustainable innovation
netnography,software development,,,sustainability,user community,,
web 2.0,toolkit,,,distributed innovation,evolutionary approach,,
lead user theory,innovation contest,,,knowledge sharing,product architecture,,
user innovation community,online user innovation community,,,grand challenge,,,
second life,idea adoption,,,service,,,
virtual world,user idea,,,literature review,,,
,,,,technology strategy,,,
,,,,patent,,,
,,,,technology diffusion,,,
,,,,user interaction,,,
