maroon,teal,gold,orange
age,agile project management,innovation management,radical innovation
determinant,agile/stage-gate hybrid,collaboration,service innovation
lead user,new product development,crowdsourcing,service lead user
product knowledge,scrum,dynamic,user integration
silver market,stage-gate proces,entrepreneurship,
technical expertise,,open source software,
use experience,,organization,
user innovation,,organizational aspect,
innovation in consumer market,,research and development management,
innovation proces,,technology management,
locus of innovation,,user-generated content,
sources of innovation,,virtual group,
property rights theory,,,
separation of ownership and control,,,
user innovation barrier,,,
