maroon,gold,teal,orange,green
age,user innovation,agile project management,innovation management,crowdsourcing
determinant,case study,agile/stage-gate hybrid,collaboration,collective invention
lead user,driver,new product development,dynamic,commons-based peer production
product knowledge,dynamic analysi,scrum,entrepreneurship,comparative analysi
silver market,impediment,stage-gate proces,open source software,distributed innovation
technical expertise,user community,,organization,free revealing of information
use experience,innovation in consumer market,,organizational aspect,innovation model
radical innovation,innovation proces,,research and development management,open source
service innovation,local information,,technology management,user innovation network
service lead user,sticky information,,user-generated content,
user integration,,,virtual group,
property rights theory,,,,
separation of ownership and control,,,,
user innovation barrier,,,,
