maroon,teal,gold,orange,green,yellow,blue,pink,brown,purple,red
application market,user innovation,articulation,attention,canon,co-creation,crowdfunding,direct and indirect effect,economics of i,employee user,evolutionary approach
business model,developing country,domestication,ideation,critical management study,customization toolkit,crowdfunding platform,education,it policy and management,ethnography,knowledge-based view
motivation,mobile banking service,script,open innovation,critical performativity,knowledge,crowdsourcing,gender,open source software,hiding practice,patents and intellectual property right
release strategy,technology diffusion,use knowledge,opennes,critique,leading edge statu,entrepreneurship,personality,productivity of it,military,technology and innovation management
smartphone operating system,interaction,,social medium,subversive functionalism,personalization,user community,survey datum,technology strategy,polouse,
,network,,success bia,,social networking service,user entrepreneur,,,,
,product development,,suggestion,,sources of innovation,,,,,
,lead user,,innovation,,theory,,,,,
,lead user method,,productivity,,,,,,,
,lead user workshop,,service,,,,,,,
,online brand community,,service innovation,,,,,,,
,toolkit,,user orientation,,,,,,,
,user involvement,,,,,,,,,
,video game industry,,,,,,,,,
